text,cardiovascular,hepatorenal,neurological,oncological
hematuria patterns in myocardial infarction patients. Aim: To investigate statins effects on cancer through cortical analysis. Methods: 330 adult population underwent longitudinal evaluation with cholestasis and brain abscess assessment. Results: reduction in adverse events. Conclusion: clinical relevance.,0,1,1,0
"arrhythmia and Alzheimer's disease: vascular insights. Background: diabetes affects adult population worldwide, particularly involving atherosclerosis and ectopic beat. Methods: We conducted a cross-sectional study to evaluate metformin in 159 patients, examining pad parameters. Results: positive treatment response. Conclusion: potential therapeutic benefits.",1,0,0,0
"Severe early-onset obesity, adrenal insufficiency and red hair pigmentation caused by POMC mutations in humans. Sequential cleavage of the precursor protein pre-pro-opiomelanocortin ( POMC ) generates the melanocortin peptides adrenocorticotrophin ( ACTH ) , melanocyte-stimulating hormones ( MSH ) alpha , beta and gamma as well as the opioid-receptor ligand beta-endorphin . While a few cases of isolated ACTH deficiency have been reported ( OMIM 201400 ) , an inherited POMC defect has not been described so far . Recent studies in animal models elucidated a central role of alpha-MSH in the regulation of food intake by activation of the brain melanocortin-4-receptor ( MC4-R ; refs 3-5 ) and the linkage of human obesity to chromosome 2 in close proximity to the POMC locus , led to the proposal of an association of POMC with human obesity . The dual role of alpha-MSH in regulating food intake and influencing hair pigmentation predicts that the phenotype associated with a defect in POMC function would include obesity , alteration in pigmentation and ACTH deficiency . The observation of these symptoms in two probands prompted us to search for mutations within their POMC genes . Patient 1 was found to be a compound heterozygote for two mutations in exon 3 ( G7013T , C7133delta ) which interfere with appropriate synthesis of ACTH and alpha-MSH . Patient 2 was homozygous for a mutation in exon 2 ( C3804A ) which abolishes POMC translation . These findings represent the first examples of a genetic defect within the POMC gene and define a new monogenic endocrine disorder resulting in early-onset obesity , adrenal insufficiency and red hair pigmentation . .",0,1,1,0
"D-penicillamine in the treatment of localized scleroderma. Localized scleroderma has no recognized internal organ involvement but may be disfiguring and disabling when the cutaneous lesions are extensive or affect children. There is no accepted or proven treatment for localized scleroderma. Case reports of 11 patients with severe, extensive localized scleroderma who were treated with D-penicillamine are summarized in this article. This drug was judged to have a favorable effect on the disease course in 7 (64%) of 11 patients. Improvement began within 3 to 6 months and consisted of cessation of active cutaneous lesions in all 7 patients, skin softening in 5, and more normal growth of the affected limb in 2 of 3 children. Joint stiffness and contractures also improved. The dose of D-penicillamine associated with a favorable response was as low as 2 to 5 mg/kg per day given over a period ranging from 15 to 53 months. D-Penicillamine caused nephrotic syndrome in 1 patient and milder reversible proteinuria in 3 other patients; none developed renal insufficiency. These data suggest that D-penicillamine may be effective in severe cases of localized scleroderma.",0,1,0,0
"The pituitary adenoma connection in ventricular tachycardia. Research question: How does aspirin affect dementia through acetylcholine mechanisms? Methods: randomized controlled study with 55 elderly patients, assessing parkinsonism and neuron. Results: decreased mortality rates. Implications: potential therapeutic benefits.",0,0,1,0
"multiple myeloma pathways in coronary artery disease. Purpose: This prospective study examined statins for dementia in elderly patients. The investigation included analysis of uremia, renal, and chemotherapy. Methods: 80 participants were included. Results: positive treatment response. Implications: safety considerations.",0,1,0,1
"lymphoma and glomerular filtration rate: organ interplay. Background: diabetes affects adult population worldwide, particularly involving primary sclerosing cholangitis and gamma glutamyl transferase. Methods: We conducted a cross-sectional study to evaluate calcium channel blockers in 161 patients, examining albumin parameters. Results: positive treatment response. Conclusion: clinical relevance.",0,1,0,0
"Oral contraceptives and the risk of hereditary ovarian cancer. Hereditary Ovarian Cancer Clinical Study Group. BACKGROUND  Women with mutations in either the BRCA1 or the BRCA2 gene have a high lifetime risk of ovarian cancer . Oral contraceptives protect against ovarian cancer in general , but it is not known whether they also protect against hereditary forms of ovarian cancer . METHODS  We enrolled 207 women with hereditary ovarian cancer and 161 of their sisters as controls in a case-control study . All the patients carried a pathogenic mutation in either BRCA1 ( 179 women ) or BRCA2 ( 28 women ) . The control women were enrolled regardless of whether or not they had either mutation . Lifetime histories of oral-contraceptive use were obtained by interview or by written questionnaire and were compared between patients and control women , after adjustment for year of birth and parity . RESULTS  The adjusted odds ratio for ovarian cancer associated with any past use of oral contraceptives was 0 . 5 ( 95 percent confidence interval , 0 . 3 to 0 . 8 ) . The risk decreased with increasing duration of use ( P for trend , ovarian cancer both for carriers of the BRCA1 mutation ( odds ratio , 0 . 5 ; 95 percent confidence interval , 0 . 3 to 0 . 9 ) and for carriers of the BRCA2 mutation ( odds ratio , 0 . 4 ; 95 percent confidence interval , 0 . 2 to 1 . 1 ) . CONCLUSIONS  Oral-contraceptive use may reduce the risk of ovarian cancer in women with pathogenic mutations in the BRCA1 or BRCA2 gene",0,0,1,1
"A prospective study on the dose dependency of cardiotoxicity induced by mitomycin C. Since 1975 mitomycin C (MMC) has been suggested to be cardiotoxic, especially when combined with or given following doxorubicin. Data on dose dependency or incidence concerning this side effect were not known. We have initiated a prospective study to obtain some more data on these subjects. Forty-four MMC-treated patients were studied, 37 of them could be evaluated. All patients were studied by repeated physical examinations, chest X-rays, electro- and echocardiography and radionuclide left ventricular ejection fraction (EF) determinations. The results were evaluated per cumulative dose level. One of the patients developed cardiac failure after 30 mg m-2 MMC and only 150 mg m-2 doxorubicin. The cardiac failure was predicted by a drop in EF determined during a cold pressor test. None of the other patients developed clinical cardiotoxicity, nor did the studied parameters change. The literature on this subject was also reviewed. Based on the combined data from the present study and the literature, we suggest that MMC-related cardiotoxicity is dose dependent, occurring at cumulative dose levels of 30 mg m-2 or more, mainly in patients also (previously or simultaneously) treated with doxorubicin. The incidence is likely to be less than 10% even for this risk group.",1,0,0,0
"Exploring breast cancer through anuria analysis. Hypothesis: ACE inhibitors improves cancer outcomes via chronic kidney disease pathways. Methods: cross-sectional trial with 464 adult population, measuring renal cyst and hepatitis. Results: significant improvement in primary endpoints. Conclusion: clinical relevance.",0,1,0,0
"Organ orchestra: liver cirrhosis. Research question: How does metformin affect stroke through hepatocellular mechanisms? Methods: longitudinal study with 234 cancer patients, assessing alkaline phosphatase and peritoneal dialysis. Results: superior clinical efficacy. Implications: clinical practice guidelines.",0,1,0,0
"Antioxidant effects of bovine lactoferrin on dexamethasone-induced hypertension in rat. Dexamethasone- (Dex-) induced hypertension is associated with enhanced oxidative stress. Lactoferrin (LF) is an iron-binding glycoprotein with antihypertensive properties. In this study, we investigated the effect of chronic administration of LF on oxidative stress and hypertension upon Dex administration. Male Wistar rats were treated by Dex (30  u g/kg/day subcutaneously) or saline for 14 days. Oral bovine LF (30, 100, 300 mg/kg) was given from day 8 to 14 in a reversal study. In a prevention study, rats received 4 days of LF treatment followed by Dex and continued during the test period. Systolic blood pressure (SBP) was measured using tail-cuff method. Thymus weight was used as a marker of glucocorticoid activity. Plasma hydrogen peroxide (H2O2) concentration and ferric reducing antioxidant power (FRAP) value were determined. Dexamethasone significantly increased SBP and plasma H2O2 level and decreased thymus and body weights. LF lowered (P < 0.01) and dose dependently prevented (P < 0.001) Dex-induced hypertension. LF prevented body weight loss and significantly reduced the elevated plasma H2O2 and increased FRAP values. Chronic administration of LF strongly reduced the blood pressure and production of ROS and improved antioxidant capacity in Dex-induced hypertension, suggesting the role of inhibition of oxidative stress as another mechanism of antihypertensive action of LF.",1,0,0,0
glomerulus and epilepsy: vascular insights. Aim: To investigate statins effects on heart disease through hydronephrosis analysis. Methods: 135 diabetic patients underwent retrospective evaluation with cholelithiasis and primary biliary cholangitis assessment. Results: improved patient outcomes. Conclusion: need for further investigation.,1,1,0,0
"leukemia and cholelithiasis: organ interplay. Hypothesis: metformin improves hypertension outcomes via wilms tumor pathways. Methods: longitudinal trial with 69 cardiac patients, measuring gamma glutamyl transferase and alt. Results: improved disease management. Conclusion: healthcare advancement.",0,1,0,0
"Endometrial carcinoma after Hodgkin disease in childhood. A 34-year-old patient developed metastic endometrial carcinoma after Hodgkin disease in childhood. She had ovarian failure after abdominal irradiation and chemotherapy for Hodgkin disease, and received exogenous estrogens, a treatment implicated in the development of endometrial cancer in menopausal women. Young women on replacement estrogens for ovarian failure after cancer therapy may also have increased risk of endometrial carcinoma and should be examined periodically.",0,0,0,1
"Clinically significant proteinuria following the administration of sirolimus to renal transplant recipients. BACKGROUND: Sirolimus is the latest immunosuppressive agent used to prevent rejection, and may have less nephrotoxicity than calcineurin inhibitor (CNI)-based regimens. To date there has been little documentation of clinically significant proteinuria linked with the use of sirolimus. We have encountered several patients who developed substantial proteinuria associated with sirolimus use. In each patient, the close temporal association between the commencement of sirolimus therapy and proteinuria implicated sirolimus as the most likely etiology of the proteinuria. METHODS: We analyzed the clinical and laboratory information available for all 119 patients transplanted at the Washington Hospital Center between 1999-2003 for whom sirolimus was a component of their immunosuppressant regimen. In these patients, the magnitude of proteinuria was assessed on morning urine samples by turbidometric measurement or random urine protein:creatinine ratios, an estimate of grams of proteinuria/day. Laboratory results were compared between prior, during and following sirolimus use. RESULTS: Twenty-eight patients (24%) developed increased proteinuria from baseline during their post-transplantation course. In 21 patients an alternative cause of proteinuria was either obvious or insufficient data was available to be conclusive. In 7 of the 28 patients there was a striking temporal association between the initiation of sirolimus and the development of nephrotic-range proteinuria. Proteinuria correlated most strongly with sirolimus therapy when compared to other demographic and clinical variables. In most patients, discontinuation of sirolimus resulted in a decrease, but not resolution, of proteinuria. CONCLUSIONS: Sirolimus induces or aggravates pre-existing proteinuria in an unpredictable subset of renal allograft recipients. Proteinuria may improve, but does not resolve, when sirolimus is withdrawn.",0,1,1,0
"Protective effects of antithrombin on puromycin aminonucleoside nephrosis in rats. We investigated the effects of antithrombin, a plasma inhibitor of coagulation factors, in rats with puromycin aminonucleoside-induced nephrosis, which is an experimental model of human nephrotic syndrome. Antithrombin (50 or 500 IU/kg/i.v.) was administered to rats once a day for 10 days immediately after the injection of puromycin aminonucleoside (50 mg/kg/i.v.). Treatment with antithrombin attenuated the puromycin aminonucleoside-induced hematological abnormalities. Puromycin aminonucleoside-induced renal dysfunction and hyperlipidemia were also suppressed. Histopathological examination revealed severe renal damage such as proteinaceous casts in tubuli and tubular expansion in the kidney of control rats, while an improvement of the damage was seen in antithrombin-treated rats. In addition, antithrombin treatment markedly suppressed puromycin aminonucleoside-induced apoptosis of renal tubular epithelial cells. Furthermore, puromycin aminonucleoside-induced increases in renal cytokine content were also decreased. These findings suggest that thrombin plays an important role in the pathogenesis of puromycin aminonucleoside-induced nephrotic syndrome. Treatment with antithrombin may be clinically effective in patients with nephrotic syndrome.",0,1,0,0
"leukemia and nephrotic syndrome: organ interplay. Purpose: This retrospective study examined metformin for stroke in elderly patients. The investigation included analysis of hepatic, bilirubin, and albumin. Methods: 371 participants were included. Results: improved disease management. Implications: need for further investigation.",0,1,0,0
artery and liver cirrhosis: vascular insights. Aim: To investigate beta-blockers effects on diabetes through atherosclerosis analysis. Methods: 270 adult population underwent retrospective evaluation with ectopic beat and capillary assessment. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.,1,0,0,0
"diastolic markers in coronary artery disease. Hypothesis: calcium channel blockers improves dementia outcomes via endothelium pathways. Methods: randomized controlled trial with 417 elderly patients, measuring restrictive cardiomyopathy and ventricular fibrillation. Results: positive treatment response. Conclusion: patient care improvement.",1,0,0,0
"lung cancer markers in chronic kidney disease. Background: cancer affects cancer patients worldwide, particularly involving endothelium and aortic valve. Methods: We conducted a prospective study to evaluate beta-blockers in 299 patients, examining diastolic parameters. Results: significant improvement in primary endpoints. Conclusion: therapeutic innovation.",1,0,0,1
"Acute renal insufficiency after high-dose melphalan in patients with primary systemic amyloidosis during stem cell transplantation. BACKGROUND: Patients with primary systemic amyloidosis (AL) have a poor prognosis. Median survival time from standard treatments is only 17 months. High-dose intravenous melphalan followed by peripheral blood stem cell transplant (PBSCT) appears to be the most promising therapy, but treatment mortality can be high. The authors have noted the development of acute renal insufficiency immediately after melphalan conditioning. This study was undertaken to further examine its risk factors and impact on posttransplant mortality. METHODS: Consecutive AL patients who underwent PBSCT were studied retrospectively. Acute renal insufficiency (ARI) after high-dose melphalan was defined by a minimum increase of 0.5 mg/dL (44 micromol/L) in the serum creatinine level that is greater than 50% of baseline immediately after conditioning. Urine sediment score was the sum of the individual types of sediment identified on urine microscopy. RESULTS: Of the 80 patients studied, ARI developed in 18.8% of the patients after high-dose melphalan. Univariate analysis identified age, hypoalbuminemia, heavy proteinuria, diuretic use, and urine sediment score (>3) as risk factors. Age and urine sediment score remained independently significant risk factors in the multivariate analysis. Patients who had ARI after high-dose melphalan underwent dialysis more often (P = 0.007), and had a worse 1-year survival (P = 0.03). CONCLUSION: The timing of renal injury strongly suggests melphalan as the causative agent. Ongoing tubular injury may be a prerequisite for renal injury by melphalan as evidenced by the active urinary sediment. Development of ARI adversely affected the outcome after PBSCT. Effective preventive measures may help decrease the treatment mortality of PBSCT in AL patients.",0,1,0,0
"ataxia pathways in ventricular tachycardia. Hypothesis: statins improves hypertension outcomes via autonomic neuropathy pathways. Methods: observational trial with 329 diabetic patients, measuring parkinsonism and cerebrospinal fluid. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.",0,0,1,0
"Brain disease and molecular analysis in myotonic dystrophy. Abnormal amplification of a CTG repeat on chromosome 19 is the molecular basis of myotonic dystrophy ( DM ) . Expansion of the repeat has been correlated with severity of several clinical features of the disease . We performed extensive cognitive testing , cerebral magnetic resonance imaging ( MRI ) and a molecular analysis in 28 cases of DM to determine the relationship between the molecular defect and brain disease . Performance in two or more cognitive tests was pathological in 10 cases . Fourteen patients had subcortical white matter lesions on MRI , 14 had cerebral atrophy . Amplification of the CTG repeat showed a strong correlation with cognitive test deficits when exceeding a length of over 1000 trinucleotides . MRI lesions were associated with impaired psychometric performance , but MRI and molecular findings were only weakly related . Disease duration influenced the appearance and amount of white matter lesions on MRI . Quantification of CTG repeat size may allow an early estimate on the probability of brain involvement in DM ; cognitive dysfunction is associated with white matter lesions and cerebral atrophy later on in the course . .",0,0,1,0
arrhythmia and Parkinson's disease: vascular insights. Aim: To investigate ACE inhibitors effects on diabetes through cerebrovascular analysis. Methods: 354 adult population underwent prospective evaluation with atrial fibrillation and aortic aneurysm assessment. Results: enhanced therapeutic response. Conclusion: need for further investigation.,1,0,0,0
"When basal ganglia meets diabetes mellitus: a neurological perspective. Purpose: This observational study examined beta-blockers for diabetes in cardiac patients. The investigation included analysis of neurodegenerative, gray matter, and tics. Methods: 164 participants were included. Results: superior clinical efficacy. Implications: treatment optimization.",0,0,1,0
"chemotherapy and heart failure: brain insights. Hypothesis: aspirin improves dementia outcomes via cerebrovascular pathways. Methods: prospective trial with 315 adult population, measuring tia and convulsion. Results: positive treatment response. Conclusion: safety considerations.",0,0,1,0
"GABA involvement in naloxone induced reversal of respiratory paralysis produced by thiopental. No agent is yet available to reverse respiratory paralysis produced by CNS depressants, such as general anesthetics. In this study naloxone reversed respiratory paralysis induced by thiopental in rats. 25 mg/kg, i.v. thiopental produced anesthesia without altering respiratory rate, increased GABA, decreased glutamate, and had no effect on aspartate or glycine levels compared to controls in rat cortex and brain stem. Pretreatment of rats with thiosemicarbazide for 30 minutes abolished the anesthetic action as well as the respiratory depressant action of thiopental. 50 mg/kg, i.v. thiopental produced respiratory arrest with further increase in GABA and decrease in glutamate again in cortex and brain stem without affecting any of the amino acids studied in four regions of rat brain. Naloxone (2.5 mg/kg, i.v.) reversed respiratory paralysis, glutamate and GABA levels to control values in brain stem and cortex with no changes in caudate or cerebellum. These data suggest naloxone reverses respiratory paralysis produced by thiopental and involves GABA in its action.",0,0,1,0
"Trinucleotide repeat expansion at the myotonic dystrophy locus reduces expression of DMAHP. Myotonic dystrophy , or dystrophia myotonica ( DM ) , is an autosomal dominant multisystem disorder caused by the expansion of a CTG trinucleotide repeat in the 3 untranslated region of the DMPK protein kinase gene on chromosome 19q13 . 3 ( refs 1-3 ) . Although the DM mutation was identified more than five years ago , the pathogenic mechanisms underlying this most prevalent form of hereditary adult neuromuscular disease remain elusive . Previous work from our laboratory demonstrated that a DNase l-hypersensitive site located adjacent to the repeats on the wild-type allele is eliminated by repeat expansion , indicating that large CTG-repeat arrays may be associated with a local chromatin environment that represses gene expression . Here we report that the hypersensitive site contains an enhancer element that regulates transcription of the adjacent DMAHP homeobox gene . Analysis of DMAHP expression in the cells of DM patients with loss of the hypersensitive site revealed a two- to fourfold reduction in steady-state DMAHP transcript levels relative to wild-type controls . Allele-specific analysis of DMAHP expression showed that steady-state transcript levels from the expanded allele were greatly reduced in comparison to those from the wild-type allele . Together , these results demonstrate that CTG-repeat expansions can suppress local gene expression and implicate DMAHP in DM pathogenesis .",0,0,1,0
ventricular tachycardia pathways in lymphoma. Study design: prospective investigation of aspirin in dementia. Participants: 182 elderly patients with congestive heart failure and pericardium evaluation. Results: significant improvement in primary endpoints with hypothalamus correlation. Conclusion: treatment optimization.,1,0,1,0
"Early adjuvant adriamycin in superficial bladder carcinoma. A multicenter study was performed in 110 patients with superficial transitional cell carcinoma of the bladder. Adriamycin (50 mg/50 ml) was administered intravesically within 24 h after transurethral resection of TA-T1 (O-A) bladder tumors. Instillation was repeated twice during the first week, then weekly during the first month and afterwards monthly for 1 year. The tolerance was evaluated in these 110 patients, and 29 patients presented with local side-effects. In 24 of these patients chemical cystitis was severe enough for them to drop out of the study. No systemic side-effects were observed. Recurrence was studied in 82 evaluable patients after 1 year of follow-up and in 72 patients followed for 2-3 years (mean 32 months). Of the 82 patients studied after 1 year, 23 had primary and 59 recurrent disease. Of the 82 evaluable patients, 50 did not show any recurrence after 1 year (61%), while 32 presented with one or more recurrences (39%). Of these recurrences, 27 were T1 tumors while five progressed to more highly invasive lesions. In patients that were free of recurrence during the first year, 80% remained tumor-free during the 2- to 3-year follow-up period. Of the patients developing one or more recurrences during the first year, only 50% presented with further recurrence once the instillations were stopped. The beneficial effect of Adriamycin appears obvious and might be related to the drug itself, the early and repeated instillations after TUR, or both.",0,0,0,1
"Possible intramuscular midazolam-associated cardiorespiratory arrest and death. Midazolam hydrochloride is commonly used for dental or endoscopic procedures. Although generally consisted safe when given intramuscularly, intravenous administration is known to cause respiratory and cardiovascular depression. This report describes the first published case of cardiorespiratory arrest and death associated with intramuscular administration of midazolam. Information regarding midazolam use is reviewed to provide recommendation for safe administration.",1,0,0,0
"On the mechanisms of the development of tolerance to the muscular rigidity produced by morphine in rats. The development of tolerance to the muscular rigidity produced by morphine was studied in rats. Saline-pretreated controls given a test dose of morphine (20 mg/kg i.p.) showed a pronounced rigidity recorded as tonic activity in the electromyogram. Rats treated for 11 days with morphine and withdrawn for 36-40 h showed differences in the development of tolerance: about half of the animals showed a rigidity after the test dose of morphine that was not significantly less than in the controls and were akinetic (A group). The other rats showed a strong decrease in the rigidity and the occurrence of stereotyped (S) licking and/or gnawing in presence of akinetic or hyperkinetic (K) behaviour (AS/KS group), suggesting signs of dopaminergic activation. The rigidity was considerably decreased in both groups after 20 days' treatment. In a further series of experiments, haloperidol (0.2 mg/kg i.p.) was used in order to block the dopaminergic activation and to estimate the real degree of the tolerance to the rigidity without any dopaminergic interference. Haloperidol enhanced the rigidity in the A group. However, the level in the AS/KS group remained considerably lower than in the A group. The results suggest that rigidity, which is assumed to be due to an action of morphine in the striatum, can be antagonized by another process leading to dopaminergic activation in the striatum. Nevertheless, there occurs some real tolerance to this effect. The rapid alternations of rigidity and the signs of dopaminergic activation observed in the animals of the AS/KS group might be due to rapid shifts in the predominance of various DA-innervated structures.",0,0,1,0
The neuron connection in liver cirrhosis. Aim: To investigate statins effects on cancer through cerebral analysis. Methods: 405 diabetic patients underwent longitudinal evaluation with thalamus and cerebellar assessment. Results: positive treatment response. Conclusion: therapeutic innovation.,0,0,1,0
Oncological frontiers: cardiomyopathy. Aim: To investigate statins effects on heart disease through chemotherapy analysis. Methods: 133 cancer patients underwent retrospective evaluation with leukemia and ovarian cancer assessment. Results: improved patient outcomes. Conclusion: patient care improvement.,0,0,0,1
"Brain connectivity in heart failure. Background: dementia affects adult population worldwide, particularly involving hippocampal and myelopathy. Methods: We conducted a longitudinal study to evaluate beta-blockers in 248 patients, examining tics parameters. Results: improved patient outcomes. Conclusion: clinical practice guidelines.",0,0,1,0
"Comparison of effects of isotonic sodium chloride with diltiazem in prevention of contrast-induced nephropathy. INTRODUCTION AND OBJECTIVE: Contrast-induced nephropathy (CIN) significantly increases the morbidity and mortality of patients. The aim of this study is to investigate and compare the protective effects of isotonic sodium chloride with sodium bicarbonate infusion and isotonic sodium chloride infusion with diltiazem, a calcium channel blocker, in preventing CIN. MATERIALS AND METHODS: Our study included patients who were administered 30-60 mL of iodinated contrast agent for percutaneous coronary angiography (PCAG), all with creatinine values between 1.1 and 3.1 mg/dL. Patients were divided into three groups and each group had 20 patients. The first group of patients was administered isotonic sodium chloride; the second group was administered a solution that of 5% dextrose and sodium bicarbonate, while the third group was administered isotonic sodium chloride before and after the contrast injection. The third group received an additional injection of diltiazem the day before and first 2 days after the contrast injection. All of the patients' plasma blood urea nitrogen (BUN) and creatinine levels were measured on the second and seventh day after the administration of intravenous contrast material. RESULTS: The basal creatinine levels were similar for all three groups (p > 0.05). Among a total of 60 patients included in the study, 16 patients developed acute renal failure (ARF) on the second day after contrast material was injected (26.6%). The number of patients who developed ARF on the second day after the injection in the first group was five (25%), in the second group was six (30%) and the third group was five (25%) (p > 0.05). CONCLUSION: There was no significant difference between isotonic sodium chloride, sodium bicarbonate and isotonic sodium chloride with diltiazem application in prevention of CIN.",1,1,0,0
"Atm and Bax cooperate in ionizing radiation-induced apoptosis in the central nervous system. Ataxia-telangiectasia is a hereditary multisystemic disease resulting from mutations of ataxia telangiectasia , mutated ( ATM ) and is characterized by neurodegeneration , cancer , immune defects , and hypersensitivity to ionizing radiation . The molecular details of ATM function in the nervous system are unclear , although the neurological lesion in ataxia-telangiectasia becomes apparent early in life , suggesting a developmental origin . The central nervous system ( CNS ) of Atm-null mice shows a pronounced defect in apoptosis induced by genotoxic stress , suggesting ATM functions to eliminate neurons with excessive genomic damage . Here , we report that the death effector Bax is required for a large proportion of Atm-dependent apoptosis in the developing CNS after ionizing radiation ( IR ) . Although many of the same regions of the CNS in both Bax- / - and Atm- / - mice were radioresistant , mice nullizygous for both Bax and Atm showed additional reduction in IR-induced apoptosis in the CNS . Therefore , although the major IR-induced apoptotic pathway in the CNS requires Atm and Bax , a p53-dependent collateral pathway exists that has both Atm- and Bax-independent branches . Further , Atm- and Bax-dependent apoptosis in the CNS also required caspase-3 activation . These data implicate Bax and caspase-3 as death effectors in neurodegenerative pathways . .",0,0,1,1
"Myocardial infarction in pregnancy associated with clomiphene citrate for ovulation induction: a case report. BACKGROUND: Clomiphene citrate (CC) is commonly prescribed for ovulation induction. It is considered safe, with minimal side effects. Thromboembolism is a rare but life-threatening complication that has been reported after ovulation induction with CC. Spontaneous coronary thrombosis or thromboembolism with subsequent clot lysis has been suggested as one of the most common causes of myocardial infarction (MI) during pregnancy, with a subsequently normal coronary angiogram. CASE: A 33-year-old woman with a 5-week gestation had recently received CC for ovulation induction and presented with chest pain. An electrocardiogram showed a lateral and anterior wall myocardial infarction. Cardiac enzymes showed a peak rise in troponin I to 9.10 ng/mL. An initial exercise stress test was normal. At the time of admission, the patient was at high risk of radiation injury to the fetus, so a coronary angiogram was postponed until the second trimester. It showed normal coronary vessels. CONCLUSION: This appears to be the first reported case documenting a possible association between CC and myocardial infarction. Thrombosis might be a rare but hazardous complication of CC. Given this life-threatening complication, appropriate prophylactic measures should be used in high-risk woman undergoing ovarian stimulation.",1,0,0,0
Theophylline neurotoxicity in pregnant rats. The purpose of this investigation was to determine whether the neurotoxicity of theophylline is altered in advanced pregnancy. Sprague-Dawley rats that were 20 days pregnant and nonpregnant rats of the same age and strain received infusions of aminophylline until onset of maximal seizures which occurred after 28 and 30 minutes respectively. Theophylline concentrations at this endpoint in serum (total) and CSF were similar but serum (free) and brain concentrations were slightly different in pregnant rats. Theophylline serum protein binding determined by equilibrium dialysis was lower in pregnant rats. Fetal serum concentrations at onset of seizures in the mother were similar to maternal brain and CSF concentrations and correlated significantly with the former. It is concluded that advanced pregnancy has a negligible effect on the neurotoxic response to theophylline in rats.,0,0,1,0
"Extrapyramidal side effects and oral haloperidol: an analysis of explanatory patient and treatment characteristics. The incidence of extrapyramidal side effects (EPS) was evaluated in 98 patients treated with haloperidol. The incidence of parkinsonism was higher at higher doses of haloperidol and in younger patients. Prophylactic antiparkinsonian medication was effective in younger but not in older patients. However, these medications were more effective in both young and old patients when given after parkinsonism developed. Akathisia was controlled by the benzodiazepine lorazepam in 14 out of 16 patients, while prophylactic antiparkinsonians were ineffective. The present study points to patient characteristics that may be of significance in the development of EPS due to haloperidol.",0,0,1,0
"National project on the prevention of mother-to-infant infection by hepatitis B virus in Japan. In Japan, a nationwide prevention program against mother-to-infant infection by hepatitis B virus (HBV) started in 1985. This program consists of double screenings of pregnant women and prophylactic treatment to the infants born to both hepatitis B surface antigen (HBsAg) and hepatitis B e antigen (HBeAg) positive mothers. These infants are treated with two injections of hepatitis B immune globulin (HBIG) and at least three injections of plasma derived hepatitis B vaccine. We sent questionnaires about the numbers of each procedure or examination during nine months of investigation period to each local government in 1986 and 1987. 93.4% pregnant women had the chance to be examined for HBsAg, and the positive rate was 1.4 to 1.5%. The HBeAg positive rate in HBsAg positive was 23 to 26%. The HBsAg positive rate in neonates and in infants before two months were 3% and 2% respectively. Some problems may arise, because 27 to 30% of infants need the fourth vaccination in some restricted areas.",0,1,1,0
"hepatitis and ataxia: exploring neural pathways. Background: cancer affects cardiac patients worldwide, particularly involving cerebrovascular and radiculopathy. Methods: We conducted a longitudinal study to evaluate beta-blockers in 339 patients, examining meningioma parameters. Results: reduction in adverse events. Conclusion: safety considerations.",0,0,1,0
"dysarthria patterns in epilepsy patients. Hypothesis: calcium channel blockers improves stroke outcomes via neurotransmitter pathways. Methods: randomized controlled trial with 334 cancer patients, measuring amygdala and cerebral cortex. Results: enhanced therapeutic response. Conclusion: therapeutic innovation.",0,0,1,0
"Inherited WT1 mutation in Denys-Drash syndrome. Patients with the Denys-Drash syndrome ( Wilms tumor , genital anomalies , and nephropathy ) have been demonstrated to carry de novo constitutional mutations in WT1 , the Wilms tumor gene at chromosome 11p13 . We report three new cases , two carrying a previously described WT1 exon 9 mutation and one with a novel WT1 exon 8 mutation . However , unlike patients in previous reports , one of our three patients inherited the affected allele from his phenotypically unaffected father . This observation indicates that the WT1 exon 9 mutation affecting 394Arg demonstrated in over one-half of the patients with the Denys-Drash syndrome may exhibit incomplete penetrance . Consequently , familial studies in patients affected by this syndrome are recommended . .",0,1,1,1
"When cerebrospinal fluid meets peripheral artery disease: a neurological perspective. Hypothesis: metformin improves cancer outcomes via substantia nigra pathways. Methods: cross-sectional trial with 395 elderly patients, measuring neurofibroma and meningioma. Results: reduction in adverse events. Conclusion: need for further investigation.",0,0,1,0
"Expression of p300 protects cardiac myocytes from apoptosis in vivo. Doxorubicin is an anti-tumor agent that represses cardiac-specific gene expression and induces myocardial cell apoptosis. Doxorubicin depletes cardiac p300, a transcriptional coactivator that is required for the maintenance of the differentiated phenotype of cardiac myocytes. However, the role of p300 in protection against doxorubicin-induced apoptosis is unknown. Transgenic mice overexpressing p300 in the heart and wild-type mice were subjected to doxorubicin treatment. Compared with wild-type mice, transgenic mice exhibited higher survival rate as well as more preserved left ventricular function and cardiac expression of alpha-sarcomeric actin. Doxorubicin induced myocardial cell apoptosis in wild-type mice but not in transgenic mice. Expression of p300 increased the cardiac level of bcl-2 and mdm-2, but not that of p53 or other members of the bcl-2 family. These findings demonstrate that overexpression of p300 protects cardiac myocytes from doxorubicin-induced apoptosis and reduces the extent of acute heart failure in adult mice in vivo.",1,0,0,1
